Time,CO,C6H6,T,RH,NOx
7,1.7,6.9,11.5,70.1,118
8,1.7,6.4,11.4,69.8,101
9,1,3.6,11.1,69.3,-200
10,0.8,3.3,10.8,70.3,46
11,1,4,10.2,73.4,81
12,1.4,6,10.8,70.5,112
13,1.7,8.2,11,71,150
14,2,9.9,12.4,64,138
15,2,8.8,15,53.1,124
16,1.9,8.4,16.6,44.4,124
17,2.1,7.5,18,38.4,115
18,1.8,7.8,20.6,30,101
19,1.5,6.4,19.9,26.7,90
20,1.3,5.1,19.8,23.1,90
21,1.4,6.9,21.4,22.7,89
22,1.5,6.8,22.1,21.3,92
23,1.7,7.4,21.1,24.5,103
0,2,8.7,18.3,31.6,122
1,2.5,11.2,16.1,35,159
2,2.4,10.5,14.8,41.5,172
3,2,8.2,13.2,50.3,125
4,2.9,11.6,12.3,55.5,187
5,2.5,9.7,11.8,56.6,174
6,1.4,5.1,11.2,56.2,75
7,1.2,4,11,56.6,48
8,1,3.7,9.3,64.3,61
9,1,4,8.8,66,-200
10,-200,3,7.8,70.4,38
11,0.7,2.9,7.7,70.7,38
12,0.8,2.9,7.4,71,41
13,0.9,3,8.2,66.6,51
14,1.1,3.7,8.7,64.3,61
15,1,3.9,13,47.9,47
16,1.6,6.2,17.4,35.4,87
17,1.8,7.3,20.2,29.2,107
18,2.6,9.2,22.7,22.9,161
19,1.1,4,22.3,22.4,61
20,0.6,2.3,22.2,18.9,26
21,0.9,3.1,22,19,42
22,1,3.2,21,23.6,55
23,1.2,3.3,19.6,27.4,65
0,1.4,4,17.9,30.8,75
1,2,5.7,16.4,35.3,93
2,1.1,3.4,15.6,37.5,63
3,1.1,3.5,15.5,36.7,60
4,1.1,2.9,14.5,39,63
5,1.1,3.1,14.2,38.2,66
6,0.7,1.6,13.7,38.3,41
7,0.6,1.1,14.1,34,42
8,0.7,2,14.6,34,36
9,0.6,1.7,14.4,32.8,-200
10,0.3,0.7,13.9,30.9,16
11,0.3,0.5,13.5,37.9,16
12,0.4,0.7,13.9,43.6,33
13,0.5,0.9,13.5,50.1,39
14,0.6,1.5,13.3,53.6,45
15,0.8,2.2,13.4,56,63
16,1,2.9,13,59.6,71
17,1.3,3.9,12.7,62.7,104
18,1.1,2.8,12.1,60.5,85
19,0.6,1.4,11.2,64.4,53
20,0.7,1.7,10.7,67.6,58
21,1.2,3.6,11.4,61.2,89
22,1.4,3.1,9.9,70.5,96
23,1.2,3.5,10.3,65.2,88
0,1.3,3.9,11,58.9,100
1,1.8,5.2,10.6,59.5,127
2,1.2,3.7,10.6,57.7,88
3,0.8,2.7,10.6,56.1,66
4,0.8,2.6,10.3,58,61
5,0.8,2.4,10.4,58.4,54
6,0.7,2,10.7,58.2,46
7,0.5,1.3,10.5,59.9,25
8,0.3,1.2,10.5,60.8,18
9,0.4,1.3,10.6,63.1,-200
10,0.3,0.9,11.1,60.1,21
11,0.7,3.1,10.1,68.4,76
12,1.6,6.9,10,68.7,149
13,3.9,19.1,11,64.2,328
14,4.5,22.1,12,58.1,282
15,2.7,11.8,12.8,52,206
16,1.6,7.3,12.6,50.8,133
17,1.6,8,13.8,47.4,137
18,1.6,7.2,15.1,42.7,116
19,1.5,7.7,16.3,38.1,112
20,1.8,9.7,16.6,36.7,128
21,2.1,9.8,15.8,40.5,145
22,1.7,7.7,16.3,41.8,110
23,3,15.3,16.1,42.8,184
0,4.6,21.5,15.3,46.8,243
1,5,21.7,14.7,47,259
2,3.5,14.6,14.1,49.6,205
3,2.1,9.3,13.5,54.1,144
4,2.1,9.4,12.3,59.2,152
5,1.5,6.8,11.6,62.2,108
6,1.1,4.9,11.5,61.4,64
7,0.9,3.9,10.9,64.6,73
8,0.7,2.7,11.1,63.2,47
9,0.4,1.9,10.7,64.4,-200
10,-200,1.7,10.7,63.8,45
11,0.9,3.3,10.2,65.8,79
12,1.6,7.4,10.3,65.6,113
13,3.9,18.2,10.8,64,263
14,5,27.7,13.3,55.6,275
15,4.3,18.3,15.8,46.8,263
16,2.7,12.3,19.5,34.4,183
17,2.1,8.9,21.1,30.2,147
18,2.1,10.4,18.4,34.2,132
19,-200,9.7,21,30.6,-200
20,-200,12.8,21.4,28.7,-200
21,-200,12.9,21.3,27.3,-200
22,-200,8.9,20.4,30.4,-200
23,-200,11,18.7,34.8,-200
0,-200,12.6,18.6,34.7,-200
1,-200,13.3,17.9,35.8,-200
2,-200,18.1,16.5,42.1,-200
3,-200,13,14.8,49.7,-200
4,-200,7.8,13.4,54.3,-200
5,-200,5.8,13.4,54.2,-200
6,-200,4.7,12.3,57.6,-200
7,-200,3.1,11.6,58.8,-200
8,-200,2.1,10.7,62.3,-200
9,-200,1.7,10.2,63.2,-200
10,-200,1.3,10.5,61.3,-200
11,-200,2.6,9.3,65.8,-200
12,-200,7.9,9.1,67.4,-200
13,-200,21.4,10.2,62.9,-200
14,-200,22.1,11.6,58.7,-200
15,3.9,19.1,13.5,53.4,309
16,3.8,17.3,15,49.3,327
17,3.8,17.5,17.1,42.1,299
18,3.9,17,18.4,36.9,257
19,3.5,17,19.3,35.4,195
20,4,19.5,19.2,35.7,231
21,3,14.8,21.5,30.4,170
22,3.1,14,19.6,34.6,192
23,5.2,24.4,19.6,35.5,251
0,5.9,28.1,18.3,44.1,289
1,7.3,33.7,17.4,47.8,351
2,6.1,24.2,16.8,49.8,319
3,4.6,19.8,16.2,53.2,264
4,2.5,9.3,14.9,59.1,144
5,2.2,7.3,13.9,64,119
6,2,7.1,13.7,66.8,120
7,1.9,6.7,13.4,69.6,96
8,1.6,6,12.8,71.9,77
9,1,2.7,12.9,68.5,-200
10,1,3.6,11.9,74.8,63
11,1.2,5.4,11.6,76.4,97
12,2,10,11.7,75.3,180
13,4.5,23.2,12.8,71,352
14,4.1,18.7,13.8,61.1,279
15,2.6,9.9,15.3,51.4,186
16,2.3,10.2,16.6,48.7,169
17,2.6,11,17.6,46.7,172
18,2.4,10.5,19.2,42.7,127
19,4.3,18.9,15.7,62.5,230
20,4.6,18.9,14.5,75.7,280
21,4,17.5,14.4,77.4,242
22,4.7,17.7,14.6,74.9,250
23,5.7,23,14.6,76,309
0,5.2,20.4,14,76.3,270
1,6.4,26.8,13.9,78,323
2,6,19.9,13.8,78,307
3,3.4,12.5,13.5,79.4,224
4,2.7,9.6,13.1,80.1,166
5,3.1,10,12.8,81,171
6,2.6,8.1,12.7,80.6,169
7,2.2,7.1,12.5,81.8,120
8,1.9,6.4,12.7,81.2,103
9,-200,5.1,12.4,82.4,-200
10,-200,3,12.6,79.9,-200
11,-200,4.2,12.8,80,-200
12,-200,5.1,12.6,79.9,-200
13,-200,8.1,12.5,79.6,-200
14,-200,8.8,12.8,80.8,-200
15,-200,7.2,13.5,78.1,-200
16,-200,9.2,14.6,74.9,-200
17,-200,6,16.8,61,-200
18,-200,5,18.8,50.1,-200
19,-200,7.5,19.3,47.1,-200
20,-200,3.9,19.3,46.6,-200
21,-200,5,19.7,44.4,-200
22,-200,5.4,19.3,45.7,-200
23,-200,5,17.9,49.9,-200
0,-200,5.5,16.9,53.2,-200
1,-200,7.8,16.1,56,-200
2,-200,8.2,16.5,52.8,-200
3,-200,5.3,16.9,51.1,-200
4,-200,7.9,17,50.8,-200
5,-200,10.7,16.9,54.8,-200
6,-200,6.9,16.3,57.2,-200
7,-200,6.3,16,56.2,-200
8,-200,5.6,15.6,60.2,-200
9,-200,5.4,14.6,68.2,-200
10,-200,3.2,14.3,69.6,-200
11,-200,1.9,13.8,71.9,-200
12,-200,2.3,13.8,72.7,-200
13,-200,2.4,14.2,72.3,-200
14,-200,2.9,14.5,72.9,-200
15,-200,4.2,14.2,75.6,-200
16,-200,6.8,14.5,77.2,-200
17,-200,7.3,14.9,74.5,-200
18,-200,5.3,15.5,67.4,-200
19,-200,3.4,16.7,56,-200
20,-200,3.4,17.1,55.5,-200
21,-200,6.8,16.2,62.4,-200
22,-200,7,17.4,58.9,-200
23,-200,7.7,17.5,54.6,-200
0,-200,8.5,17.5,54.2,-200
1,-200,13.5,17,55.1,-200
2,-200,9.2,16.4,57.8,-200
3,-200,8.7,15.8,60.4,-200
4,-200,6.6,15.5,63.3,-200
5,-200,9.1,15,65.2,-200
6,-200,7.8,14.5,67.3,-200
7,-200,4.2,14.1,70.1,-200
8,-200,3.4,13.8,73.3,-200
9,-200,1.7,13.1,78.3,-200
10,-200,2.1,13,78.2,-200
11,-200,2.2,14.3,70.1,-200
12,-200,6.9,14,70.9,-200
13,-200,16.5,15.4,64.2,-200
14,-200,18.7,16.5,57.9,-200
15,-200,8.5,18.8,48,-200
16,-200,6.8,19.5,43.3,-200
17,-200,7.5,18.5,45.5,-200
18,-200,10.9,18,46.7,-200
19,-200,13.4,16.5,58.2,-200
20,-200,7.9,12.1,75.6,-200
21,-200,8.8,11.1,75.6,-200
22,-200,11.5,10.5,79,-200
23,-200,11.8,10,80.5,-200
0,-200,8.3,11.3,70.5,-200
1,-200,7.9,10.7,71.5,-200
2,-200,6.7,9.9,74,-200
3,-200,4.6,10.8,68.2,-200
4,-200,5,10.2,74,-200
5,-200,5.3,10.1,77.5,-200
6,-200,3.9,9.9,77.7,-200
7,-200,2.9,9.5,80.2,-200
8,-200,1.5,9.5,79.7,-200
9,-200,0.8,9.7,78.9,-200
10,-200,1.2,9.8,80,-200
11,-200,2.9,10,79.6,-200
12,-200,7.6,10.3,79.4,-200
13,-200,20.7,11,77.4,-200
14,-200,29.9,12.3,69.2,-200
15,-200,20.1,14.5,60.4,-200
16,-200,17.1,16,56.3,-200
17,-200,19.4,18.1,51.1,-200
18,-200,18.7,23,37.5,-200
19,-200,15.8,21.8,39.6,-200
20,-200,10.3,21.9,37.2,-200
21,-200,7.9,23.8,31.4,-200
22,-200,13.7,25.9,26.9,-200
23,-200,19.7,25.8,29.9,-200
0,-200,25.3,22.6,39.5,-200
1,-200,23.9,19.9,45,-200
2,-200,20.6,17.9,47.4,-200
3,-200,12.3,16.8,50.4,-200
4,-200,7.7,16,52,-200
5,-200,9,14.2,59.1,-200
6,-200,4.5,14.2,56.7,-200
7,-200,5.8,12.2,67.7,-200
8,-200,3.2,13.2,61.7,-200
9,-200,3,10.9,71,-200
10,-200,2,11.3,67.6,-200
11,-200,3.7,10.1,71.8,-200
12,-200,8.7,10.2,70.9,-200
13,-200,27,11.8,66,-200
14,-200,40.3,14,58.2,-200
15,-200,20,17,50.2,-200
16,-200,17.1,22.3,36.9,-200
17,-200,11,24.4,30.9,-200
18,-200,10.6,25.9,26.7,-200
19,-200,10.5,25.8,26.1,-200
20,-200,9.6,26.3,24.8,-200
21,-200,9.3,27,22.2,-200
22,-200,12.7,27.3,20.5,-200
23,-200,19.8,25.8,24.1,-200
0,-200,32.5,25.3,28.9,-200
1,-200,33.6,23.8,33.7,-200
2,-200,26,21.4,36,-200
3,-200,16.4,19.8,39.5,-200
4,-200,10.6,19.2,42.1,-200
5,-200,7.1,18.8,45.8,-200
6,-200,6.4,17.1,50.8,-200
7,-200,4.6,16.2,53.4,-200
8,-200,3,16,53.5,-200
9,-200,2.2,14.3,59.2,-200
10,-200,1.7,13.3,62.6,-200
11,-200,2.2,13.4,59.5,-200
12,-200,5.7,12.2,64.1,-200
13,-200,13.8,13.9,57.2,-200
14,-200,21.6,15.2,53.2,-200
15,-200,26.1,19.2,41.6,-200
16,-200,20.1,23.7,30.6,-200
17,-200,15.4,26.1,26.8,-200
18,-200,13.6,28.1,24.4,-200
19,-200,11.1,28.3,23.9,-200
20,-200,12.2,28,21,-200
21,-200,17.5,30.8,16.4,-200
22,-200,19.1,31.3,16.2,-200
23,-200,27.1,29.4,20.5,-200
0,-200,28.3,25.8,24.3,-200
1,-200,35,23.8,29.5,-200
2,-200,22.4,22,34.8,-200
3,-200,13.5,20.2,37.4,-200
4,-200,8.2,19.3,38.8,-200
5,-200,7.8,17.9,43.7,-200
6,-200,10,17.2,47.9,-200
7,-200,6.6,16.3,49.7,-200
8,-200,3.4,16.7,46.5,-200
9,-200,2.8,14.6,53,-200
10,-200,2.3,14.1,53.9,-200
11,0.6,2.9,14.2,52.2,59
12,0.8,4.9,14.3,55.4,72
13,4,22.6,14,58,244
14,5.6,31.1,15.4,53.3,351
15,5,22.1,19.1,42.1,358
16,3.2,18.3,23.7,31,245
17,3.8,22,26.9,25.7,240
18,3.3,20.1,29.7,20.6,179
19,3,18.9,29.2,21.5,160
20,3.2,20.6,29.6,20.1,174
21,4.4,25.3,30,19.4,260
22,4.6,25.8,29.5,20.1,281
23,5.2,30.6,27,26.8,284
0,4.8,27.1,24.9,30.8,250
1,5.6,32.5,23.1,36.7,281
2,4.6,20.8,21.5,40.8,230
3,1.8,10.9,20.5,41.5,98
4,2.2,13,19.2,44.9,121
5,2,11.8,18.8,47.7,110
6,2.8,13.4,18.2,49.7,161
7,2.6,13.4,16.1,57.4,148
8,1.8,9,16.3,55.3,109
9,1.1,5.8,15.7,53.6,-200
10,-200,3.8,16.9,49.8,45
11,0.7,3.7,14.8,57.7,71
12,0.9,5.7,14,59.7,75
13,1.5,10,14.6,56.8,106
14,2.5,15,16.7,51.9,166
15,3,15.6,20,45,188
16,2.6,12.3,23.9,33.7,161
17,2.6,14.4,26.8,29.5,139
18,2.6,14.6,27.2,32.4,134
19,1.9,8.7,26.9,32.1,84
20,2,11,24.3,41.8,98
21,1.7,9,25.6,36,91
22,1.9,10.7,27,31.8,99
23,1.8,9.9,27.5,31.6,90
0,2.8,15.7,24.9,38.1,147
1,3.5,19.4,23.4,39.7,177
2,3.4,16.8,21.2,50.8,162
3,2,6.8,15.6,73.5,88
4,1.1,3,12.9,79.7,53
5,1.3,3.2,11.5,76.9,68
6,1.2,3.1,12.2,66.8,61
7,1.3,3.9,12.4,64.1,71
8,1,3.6,12.7,58.7,63
9,1.3,4.5,12.6,58.6,-200
10,-200,1.2,12.5,51.2,23
11,0.3,0.7,12.5,50.9,14
12,0.5,1.1,12.8,49.3,34
13,0.6,1.4,13.5,48.6,42
14,0.6,1.6,14.4,45.9,40
15,0.8,2.3,15.1,43.9,48
16,1,2.5,16.6,38.6,61
17,0.9,2.7,17.2,35,58
18,1,2.7,17.4,33.9,57
19,0.8,2.2,17.9,30.7,54
20,0.7,2,18.3,27.2,41
21,0.9,3.4,19.4,25.7,57
22,1.3,4.5,20.2,24.1,83
23,1.4,4.7,19.6,24.9,81
0,1.5,6,18.5,27.8,98
1,2.7,11.7,17.8,30.3,124
2,2.5,8.2,16.6,34,133
3,1.4,5.1,15.5,37,100
4,2.8,13,14.8,39.5,116
5,2.1,7,14.5,42,102
6,1.1,3.9,14.1,44.9,55
7,0.7,2.2,14.2,45.5,33
8,0.4,1.3,14.1,45.3,17
9,0.3,0.8,14,44.3,-200
10,-200,0.6,14.1,43,10
11,0.4,1.2,13.9,43.9,35
12,0.8,3.4,14,43.8,70
13,1.9,7.5,14.4,43.6,116
14,2.1,8.9,15,41.7,134
15,1.4,5.3,16.3,38.4,113
16,1.4,5.4,18.3,32.3,110
17,1.3,5.2,18.8,31.7,98
18,1.5,6.6,19.6,30.9,96
19,1.6,6.9,20.2,30.7,95
20,1.3,5.4,19.7,32.5,86
21,1.4,6,20.7,31.6,86
22,1.5,6.4,20,32.7,91
23,2.2,10.7,18.6,35.4,119
0,3.2,13.9,18.3,35.9,147
1,3,12.5,17.8,37.5,135
2,2.6,9.3,17.3,38.8,124
3,1.6,6.7,17.3,38.8,89
4,1.5,5.3,16.4,40.8,79
5,1.2,4,16,41.4,63
6,0.8,2.2,15.4,43,39
7,0.7,1.7,15.7,42.5,25
8,0.5,1.6,15.6,43.4,19
9,0.5,1.5,15.2,45.8,-200
10,-200,2.5,14.7,49.9,34
11,0.7,3.3,15.5,47.3,58
12,1.4,8.9,14.4,53.1,112
13,4.1,23.4,15.9,48.5,314
14,4.6,23.8,18.1,40.3,240
15,1.9,7.9,19.6,35.9,128
16,1.9,8.2,22.8,29.1,141
17,1.7,8.8,24.8,25.3,118
18,2.4,14.6,27.2,22,132
19,3,18,28.2,20.4,150
20,2,12,25.4,24.2,121
21,2.7,14.8,25.7,23.8,149
22,2.2,12.5,27.2,22.1,120
23,2.9,15.5,27,22.3,155
0,3.4,17.7,24.5,27.8,172
1,3.9,21.6,23.7,30.2,177
2,3.6,18.9,21.5,34.5,181
3,2.5,12.5,19.9,37.8,135
4,1.8,8.8,18.9,40.6,99
5,2,10.9,17.9,43.5,111
6,1.3,8,17.4,46.3,72
7,1,4.4,18.1,44.7,54
8,0.6,2.8,16.5,50.1,41
9,0.6,2.7,14.2,56.9,-200
10,-200,2.2,14.7,56.2,24
11,0.5,2.5,16.3,52.8,29
12,1.1,7.5,13.9,60.7,76
13,5.5,30.4,15,58.3,321
14,4.2,22,16.1,54.8,274
15,4.6,24.7,19.3,46.4,322
16,3.4,18.4,24.2,33.8,255
17,2.8,16.8,26.7,28.7,196
18,2.5,14.2,27.4,28.2,136
19,2.4,15.7,28.1,26.9,119
20,3.2,21.9,27.7,26.5,169
21,3.5,20.8,28.4,23.4,197
22,2.9,16.2,28.4,26,140
23,3.6,19.8,27.3,30,178
0,4.8,28.9,24.3,37.3,223
1,5.4,28.3,23.1,42.2,222
2,5.3,24.9,21.8,43.6,265
3,2.7,13.1,19.8,46.8,151
4,1.4,8.6,19.6,49.8,79
5,1.6,9.5,17.9,56.2,87
6,1.5,7.8,17.4,55.6,88
7,1,5.2,16.8,59.5,51
8,0.6,2.8,15.9,60.1,34
9,0.4,2.3,15.6,61.2,-200
10,-200,2.5,14.6,63.4,31
11,0.8,4.4,13.3,67,76
12,1.5,9.4,12.9,66.5,139
13,4.9,29.8,14.8,61.3,293
14,7.2,36.2,16.1,56.5,368
15,3.5,18,18.6,47.8,250
16,2.1,10.9,23.8,30.2,145
17,1.5,9,25.4,25,110
18,2,14.4,25.6,25.5,104
19,3.8,22.3,24.9,29.9,205
20,3.4,20.9,22.4,37.9,201
21,4.4,23.1,21.7,44,266
22,3.9,21.2,21.4,44.4,246
23,4.9,24.8,20.8,45.3,247
0,5.4,28.6,20.2,48.6,271
1,6.5,32.6,20.2,50.8,332
2,4.3,19.2,18.6,57.6,245
3,2.9,16.3,18.2,58.8,180
4,2.7,13.7,17.8,61,156
5,2.8,13.6,17,70.7,172
6,2.3,11.1,16.2,76.9,137
7,1.7,7.6,15.7,78.6,91
8,1.2,5.9,15.7,78.4,80
9,1,5,15.7,77.4,-200
10,-200,4,15.4,78.5,46
11,0.8,4.5,15.7,74.7,68
12,1.7,9.3,15.9,73.1,162
13,3,18.3,16.6,68.2,213
14,3.4,19.9,18.7,57.6,161
15,3.3,16.6,17.6,65,209
16,2.7,12.6,16.3,73.2,191
17,2.6,12.9,16,78.5,215
18,3.2,14.9,17.3,72.4,212
19,3.4,17.4,19.4,60.9,202
20,2.6,15.4,21.4,50.9,153
21,3.4,16.7,22.7,45.8,185
22,4,18,20.9,60.8,210
23,4.5,19.2,21,54.3,215
0,4.2,21,20.8,54.4,215
1,5.7,26.9,19.8,58.6,281
2,4.4,19.5,19.1,61.1,254
3,3.1,15.1,18.2,65.4,189
4,3,14.6,18.1,66.1,174
5,3.1,13.7,17.7,66.9,167
6,3.5,15.2,17.8,66.8,185
7,2.4,9.3,17.3,68.3,129
8,1.6,6.5,16.5,70.2,85
9,1.3,6.3,15.7,73.1,-200
10,-200,3.5,16.2,69.9,35
11,0.6,2.6,16.7,67.1,24
12,0.7,3.1,16.7,66.9,30
13,1.2,6.5,16.9,66.5,75
14,1.5,6.5,17.7,62,79
15,1.8,8.8,19.4,54.6,104
16,2.1,8.8,21.6,46.1,118
17,1.9,9.2,24.6,36.7,105
18,2,9.2,26,31.9,101
19,1.3,6.1,25.6,31.5,65
20,1.3,6.5,24.8,34.8,59
21,1.8,9.2,26.1,30.3,80
22,2,8.3,25.5,33.5,98
23,1.8,8.3,23.7,37.2,89
0,2.4,11,22.3,38.9,114
1,4,14.7,20.7,42.8,195
2,2.8,10.8,19,51.7,156
3,2,9.4,17.8,55.5,109
4,3.6,14.8,17.4,57.6,184
5,3.7,13.3,17.6,58.5,190
6,2.3,8.4,17.2,59.3,105
7,1.8,7.9,17.1,60.4,76
8,0.9,5.5,16.4,62.2,38
9,1.6,6.6,14.8,67.6,-200
10,-200,3.3,14.8,65.8,26
11,0.6,2.6,14.7,65.2,33
12,0.7,3.6,13.1,70.2,57
13,0.8,4.8,14.3,66.2,48
14,1.2,5.9,16,61.6,87
15,1.4,6.9,17.7,56.4,94
16,1.6,8.5,21.3,44.7,89
17,1.3,6.1,23.6,36.4,78
18,1.3,6.2,24.3,34,72
19,1.1,4.8,24.4,32.7,64
20,1.2,6.8,24.6,31.7,70
21,1.5,7,23.9,34.3,92
22,1.1,5.5,25.9,28.1,69
23,1.9,9.5,24.5,32.3,131
0,2.3,11.9,22.6,39.3,144
1,3.3,13.8,21.2,47.5,209
2,2.6,10.7,19.9,54.9,170
3,2.2,9.7,19.4,52.1,152
4,2.3,10.2,19.4,42.6,171
5,2,8.3,19.1,44.1,153
6,1.6,7.1,18,49.3,97
7,0.8,3,17.6,54.6,37
8,0.6,2.2,16.4,62.1,26
9,0.4,1.7,15.6,65.3,-200
10,-200,1.5,16,61.4,25
11,0.7,3.7,15.8,64.3,61
12,1.3,8.2,16,65.8,152
13,3.4,21.1,16.8,62.5,283
14,4.7,26.5,16.9,66.1,320
15,3.4,17.4,17.4,68.9,318
16,2.5,12.9,21.4,45,201
17,2,10.9,23.9,30.7,135
18,1.9,11,26.8,25.2,127
19,1.7,10.8,28.4,23.6,102
20,1.4,10,30.3,20.1,74
21,1.5,11.2,30.9,19.7,81
22,2.4,16.8,30.2,20.5,129
23,3.9,23.6,26.4,34.6,190
0,4.2,23.3,24.9,39.4,192
1,3.7,19.4,23.5,43.7,163
2,3.2,13.1,19.3,63.1,149
3,2,9.8,18.7,64.6,119
4,1.1,5.3,19.5,57.1,61
5,1.5,6.7,18.9,62.5,84
6,1.3,5.5,18.4,65.8,79
7,1,3.7,16.4,79.2,58
8,0.6,2.2,16.1,80,32
9,0.4,1.5,15.6,81,-200
10,-200,1.5,15.6,81,21
11,0.6,2.9,15.7,80.5,49
12,1.9,9.9,16,80.8,180
13,4.5,23,16.6,78,302
14,4.3,22.3,16.1,79.2,258
15,3.2,16.2,17.7,70.8,192
16,1.3,7.9,20.3,54.8,84
17,2.2,12.4,21.2,49.3,128
18,2.6,13.6,21.5,47.9,145
19,2.3,12.3,21.4,47.7,132
20,2.4,12.1,20.4,54,136
21,2.6,12.9,19.9,57.1,140
22,1.2,6.3,19.9,55.2,55
23,1.6,10.6,19.5,55.7,67
0,3.9,20.6,18.3,62.8,191
1,4.7,22.1,17.2,68.3,227
2,5.4,20.8,16.1,75.2,264
3,3,11.8,16.6,70.8,196
4,0.9,4.3,18.5,56,43
5,1.1,5,17.3,59.5,58
6,0.7,2.3,18.6,52.3,33
7,0.5,1.4,19,49.8,14
8,0.5,1.5,15.7,64.5,18
9,0.5,1.8,15.5,66.9,-200
10,-200,2.1,14.7,74.1,28
11,0.8,3.5,14.6,77.1,56
12,1.3,6.9,14.5,78.3,108
13,3.5,19.1,15.1,76.8,251
14,-200,22,16.4,70.8,-200
15,3.9,18.9,16.4,72.4,255
16,2.9,13,16.3,68.6,214
17,2.6,13,17.2,62.9,190
18,3,14.5,17.4,61.1,182
19,3.7,19.7,16.8,66.8,202
20,3.9,19.4,17.3,62.6,224
21,3.5,16.4,17.5,60.8,221
22,2.4,11.2,17.5,59.2,126
23,1.6,10,17.7,56.9,79
0,3,14.6,17.1,61.5,137
1,1.6,8.5,17.5,63.9,68
2,2.1,9.2,15.9,70.7,96
3,1.8,6.9,15.1,75.1,111
4,1.1,3.7,13.9,72.5,56
5,1.5,4.9,12,79.8,81
6,1.4,4.6,12.5,75.8,79
7,0.9,3.4,12,75,46
8,0.5,1.2,12.6,72.2,19
9,0.4,1,12.7,71.6,-200
10,-200,1.2,13.1,67.1,15
11,0.6,2.3,13.2,64.6,48
12,1.3,6.1,13.1,65.6,128
13,2.9,16.8,14.7,58.5,193
14,3.6,20.3,15.9,53.1,203
15,3.4,16.4,17.9,46.1,220
16,2.5,12.5,20.2,37.7,161
17,2.1,9.8,18.5,42.8,135
18,1.1,5.2,13,64.3,57
19,1.8,8.9,15.1,54.5,91
20,3,14.1,13.6,65.5,219
21,3.1,12.7,12.3,78.3,239
22,3.6,14.6,12.7,74.2,209
23,3.3,12.4,14.4,64.2,169
0,1.8,9.4,15.6,58.3,92
1,2.1,11,15,61.4,107
2,2.2,8.9,13.7,65.8,122
3,1.6,6.6,12.3,66.4,100
4,0.9,3.9,15.4,58.8,51
5,1.8,7.3,14.1,64.9,93
6,2.3,8.2,13.8,64.7,145
7,2,7.5,13.5,67.8,106
8,0.9,3.3,13.7,69.4,46
9,0.6,2.4,13.9,67.7,-200
10,-200,2.2,14,67.8,32
11,0.7,2.8,14.6,61.1,51
12,1.5,7.5,14.3,60.5,89
13,3.7,19.8,14.9,56.9,214
14,4.2,22.1,16.4,50.2,196
15,3.4,15,16,50.9,224
16,2.4,9.3,18.6,42.8,174
17,1.3,6.3,19.7,33.7,90
18,1.5,8.2,21.2,27.7,89
19,2.2,10.9,19.7,28.5,132
20,1.8,9.3,19.8,29.7,114
21,1.9,8.4,19.2,35.6,107
22,2.3,9.4,14.2,60.5,140
23,3.6,17.9,12.9,69.1,187
0,4.3,17.4,12.7,70.4,222
1,2.2,10.5,13.9,62.7,117
2,1.5,7.5,13.9,62.9,89
3,2,8,13.4,65.2,130
4,2,7.7,13.4,64.6,133
5,2.1,7.3,13.3,63.6,144
6,1.5,6.4,13.3,61.8,99
7,2.2,5.6,13.6,59.7,102
8,0.5,1.5,14.6,53.3,27
9,-200,1.5,14.3,51.7,-200
10,-200,1.2,10.9,67.5,-200
11,-200,1.6,7.4,85.2,-200
12,-200,2.6,8.7,81.5,-200
13,-200,5.9,10.3,75.6,-200
14,-200,8.5,11,75,-200
15,-200,7.7,13.6,66.1,-200
16,-200,6.9,14.7,63.1,-200
17,-200,10.1,13.8,72.3,-200
18,-200,11.1,13.3,76.8,-200
19,-200,9.2,16.2,60,-200
20,-200,4.3,16.3,55.3,-200
21,-200,6.5,20,40.4,-200
22,-200,5.4,19.8,35.4,-200
23,-200,7.1,19.8,33.6,-200
0,-200,9.5,17.8,38.5,-200
1,-200,17,16.7,44.6,-200
2,-200,15.4,15.1,51.8,-200
3,-200,9.9,14.1,56.2,-200
4,-200,9.3,13.8,58.3,-200
5,-200,6.9,13.7,59.7,-200
6,-200,7.1,13.7,60.3,-200
7,-200,9,12.7,64.9,-200
8,-200,8.3,12.6,65.4,-200
9,-200,8.7,12.1,68.6,-200
10,-200,8.4,12.3,68,-200
11,-200,8.1,11.9,71.1,-200
12,-200,5.2,11.3,73.8,-200
13,-200,4.5,13.1,62.6,-200
14,-200,2.6,16.8,46.8,-200
15,-200,4.8,17.9,44.8,-200
16,-200,4.5,17.8,49.5,-200
17,-200,4.9,18.8,46.4,-200
18,-200,5.8,19.3,44,-200
19,-200,4.1,14.7,68.4,-200
20,-200,4.8,15.6,65.8,-200
21,-200,7,17.7,54,-200
22,-200,4.8,17.8,46.7,-200
23,-200,5.4,17.8,44.4,-200
0,-200,6.3,17.8,44.3,-200
1,-200,10.1,16.4,47.8,-200
2,-200,10.2,15.6,51.6,-200
3,-200,8.4,14.9,55,-200
4,-200,8.9,13.8,59.8,-200
5,-200,8.8,13.8,62.1,-200
6,-200,6.5,13.9,61.1,-200
7,-200,3,14.9,57.6,-200
8,-200,1.8,14.4,60.1,-200
9,-200,1.3,13.8,63.2,-200
10,-200,1.8,14.2,62.9,-200
11,-200,2.6,14,63.8,-200
12,-200,9.8,13.4,67.4,-200
